Ref,Val,Package,PosX,PosY,Rot,Side
"0.1uF_1","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",41.500000,-19.250000,0.000000,bottom
"0.1uF_2","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",57.000000,-86.750000,-90.000000,bottom
"1Kohm_1","1Kohm","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",63.000000,-16.500000,180.000000,bottom
"1uF_1","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",58.000000,-17.250000,180.000000,bottom
"1uF_2","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",77.250000,-29.500000,180.000000,bottom
"5.1K_2","5.1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",35.000000,-18.250000,-90.000000,bottom
"5.1k_1","5.1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",32.250000,-18.250000,-90.000000,bottom
"10Kohm_1","10Kohm","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",82.750000,-21.500000,180.000000,bottom
"10Kohm_2","10Kohm","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",54.750000,-18.250000,90.000000,bottom
"10uF_1","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",65.250000,-18.750000,180.000000,bottom
"10uF_2","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",58.250000,-34.500000,0.000000,bottom
"BT1","Battery_Cell","PinHeader_1x02_P2.54mm_Vertical",78.525000,-26.750000,90.000000,bottom
"IC1","BQ24040DSQR","SON40P200X200X80-11N",58.200000,-22.550000,-90.000000,bottom
"J1","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_HRO_TYPE-C-31-M-12",24.700000,-18.220000,0.000000,bottom
"SW17","SW_SPDT","PinHeader_1x03_P2.54mm_Vertical",79.790000,-18.000000,90.000000,bottom
"U1","ESP32-S3-WROOM-1","ESP32-S3-WROOM-1",56.240000,-102.250000,-90.000000,bottom
"U2","AP2112K-3.3","SOT-23-5",58.000000,-28.750000,-90.000000,bottom
"J3","Conn_01x04","PinHeader_1x04_P2.54mm_Vertical",38.700000,-74.005000,0.000000,top
"SW1","SW_Push","SW_Cherry_MX_1.00u_PCB",31.715000,-24.710000,0.000000,top
"SW2","SW_Push","SW_Cherry_MX_1.00u_PCB",50.965000,-24.710000,0.000000,top
"SW3","SW_Push","SW_Cherry_MX_1.00u_PCB",70.215000,-24.710000,0.000000,top
"SW4","SW_Push","SW_Cherry_MX_1.00u_PCB",89.465000,-24.710000,0.000000,top
"SW5","SW_Push","SW_Cherry_MX_1.00u_PCB",31.715000,-43.960000,0.000000,top
"SW6","SW_Push","SW_Cherry_MX_1.00u_PCB",50.965000,-43.960000,0.000000,top
"SW7","SW_Push","SW_Cherry_MX_1.00u_PCB",70.215000,-43.960000,0.000000,top
"SW8","SW_Push","SW_Cherry_MX_1.00u_PCB",89.465000,-43.960000,0.000000,top
"SW9","SW_Push","SW_Cherry_MX_1.00u_PCB",31.715000,-63.210000,0.000000,top
"SW10","SW_Push","SW_Cherry_MX_1.00u_PCB",50.965000,-63.210000,0.000000,top
"SW11","SW_Push","SW_Cherry_MX_1.00u_PCB",70.215000,-63.210000,0.000000,top
"SW12","SW_Push","SW_Cherry_MX_1.00u_PCB",89.465000,-63.210000,0.000000,top
"SW13","SW_Push","SW_Cherry_MX_1.00u_PCB",31.715000,-82.460000,0.000000,top
"SW14","SW_Push","SW_Cherry_MX_1.00u_PCB",50.965000,-82.460000,0.000000,top
"SW15","SW_Push","SW_Cherry_MX_1.00u_PCB",70.215000,-82.460000,0.000000,top
"SW16","SW_Push","SW_Cherry_MX_1.00u_PCB",89.465000,-82.460000,0.000000,top
